Day ,Items ,Note ,Amount 
0,Paid-In Capital, Cash,3500000
1,Salary Expense,Cash Payment - Salary Expense,-12600
2,Human Resource Expense,Counselled,-2000
2,Human Resource Expense,Cash Payment - Staff Recruiting - New York,-60000
2,Human Resource Expense,Cash Payment - Staff Recruiting - Los Angeles,-60000
2,Human Resource Expense,Cash Payment - Staff Recruiting - Chicago,-60000
2,Human Resource Expense,Cash Payment - Staff Recruiting - San Francisco,-60000
2,Salary Expense,Cash Payment - Salary Expense,-18200
2,Rental Expense,Cash Payment - Rental - New York,-8040
2,Rental Expense,Cash Payment - Rental - Los Angeles,-2160
2,Rental Expense,Cash Payment - Rental - Chicago,-2400
2,Rental Expense,Cash Payment - Rental - San Francisco,-4480
3,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 190 ,-180000
3,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 190 ,-204000
3,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 190 ,-228000
3,Machines,Cash Payment - Machines,-300000
3,Human Resource Expense,Cash Payment - Staff Recruiting - Production,-30000
3,Machines,Cash Payment - Machines,-300000
3,Human Resource Expense,Cash Payment - Staff Recruiting - Production,-30000
3,Machines,Cash Payment - Machines,-300000
3,Human Resource Expense,Cash Payment - Staff Recruiting - Production,-30000
3,Salary Expense,Cash Payment - Salary Expense,-20300
3,Prepaid,Cash Payment - Web Buy - Payment to Escrow PO:212,-16968
3,Retail,Revenue - Retail Sales New York - Sparkling Wine,16224
3,Retail,Revenue - Retail Sales New York - Red Wine,15399
3,Retail,Revenue - Retail Sales New York - White Wine,13423
3,Rental Expense,Cash Payment - Rental - New York,-8040
3,Rental Expense,Cash Payment - Rental - Los Angeles,-2160
3,Rental Expense,Cash Payment - Rental - Chicago,-2400
3,Rental Expense,Cash Payment - Rental - San Francisco,-4480
4,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 206 ,-120000
4,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 206 ,-136000
4,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 206 ,-152000
4,Machines,Cash Payment - Machines,-300000
4,Human Resource Expense,Cash Payment - Staff Recruiting - Production,-30000
4,Human Resource Expense,Counselled,-2000
4,Human Resource Expense,Counselled,-2000
4,Salary Expense,Cash Payment - Salary Expense,-21000
4,Retail,Revenue - Retail Sales New York - Sparkling Wine,15574
4,Retail,Revenue - Retail Sales New York - Red Wine,16037
4,Retail,Revenue - Retail Sales New York - White Wine,12741
4,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,10218
4,Retail,Revenue - Retail Sales Los Angeles - Red Wine,10063
4,Retail,Revenue - Retail Sales Los Angeles - White Wine,8525
4,Rental Expense,Cash Payment - Rental - New York,-8040
4,Rental Expense,Cash Payment - Rental - Los Angeles,-2160
4,Rental Expense,Cash Payment - Rental - Chicago,-2400
4,Rental Expense,Cash Payment - Rental - San Francisco,-4480
5,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 222 ,-120000
5,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 222 ,-136000
5,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 222 ,-152000
5,Salary Expense,Cash Payment - Salary Expense,-21000
5,Retail,Revenue - Retail Sales New York - Sparkling Wine,14222
5,Retail,Revenue - Retail Sales New York - Red Wine,16849
5,Retail,Revenue - Retail Sales New York - White Wine,13609
5,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,10634
5,Retail,Revenue - Retail Sales Los Angeles - Red Wine,9831
5,Retail,Revenue - Retail Sales Los Angeles - White Wine,8060
5,Retail,Revenue - Retail Sales San Francisco - Sparkling Wine,9126
5,Retail,Revenue - Retail Sales San Francisco - Red Wine,7250
5,Retail,Revenue - Retail Sales San Francisco - White Wine,8370
5,Rental Expense,Cash Payment - Rental - New York,-8040
5,Rental Expense,Cash Payment - Rental - Los Angeles,-2160
5,Rental Expense,Cash Payment - Rental - Chicago,-2400
5,Rental Expense,Cash Payment - Rental - San Francisco,-4480
6,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,-900
6,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,-2600
6,Marketing Expense,Cash Payment - Marketing - New York - White Wine,-3200
6,Salary Expense,Cash Payment - Salary Expense,-21000
6,Retail,Revenue - Retail Sales New York - Sparkling Wine,19006
6,Retail,Revenue - Retail Sales New York - Red Wine,18212
6,Retail,Revenue - Retail Sales New York - White Wine,29791
6,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,10114
6,Retail,Revenue - Retail Sales Los Angeles - Red Wine,9657
6,Retail,Revenue - Retail Sales Los Angeles - White Wine,8060
6,Retail,Revenue - Retail Sales San Francisco - Sparkling Wine,8658
6,Retail,Revenue - Retail Sales San Francisco - Red Wine,7859
6,Retail,Revenue - Retail Sales San Francisco - White Wine,7378
6,Rental Expense,Cash Payment - Rental - New York,-8040
6,Rental Expense,Cash Payment - Rental - Los Angeles,-2160
6,Rental Expense,Cash Payment - Rental - Chicago,-2400
6,Rental Expense,Cash Payment - Rental - San Francisco,-4480
7,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 391 ,-70000
7,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 391 ,-82000
7,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 391 ,-172800
7,Overdraft Used,,1250000
7,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 391 ,-540000
7,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 391 ,-174400
