Day,Sales,Trading Profit,Operating Expense,Net Profit
1,0,0,12600,-12600
2,0,0,289880,-289880
3,45046,18432,432260,-413828
4,118204,48376,524340,-475964
5,216155,88421,582420,-493999
6,334890,136696,647200,-510504
7,449455,183241,713350,-530109
8,569270,220455,783901,-563446
9,700718,285844,895437,-609593
10,1075976,448235,983305,-535070
11,1423871,414587,1058532,-643945
12,1778656,553187,1131960,-578773
13,3182405,1188157,1236184,-48027
14,4580888,1761577,1379044,382533
15,4694976,1817094,1464238,352856
16,4825515,1784418,1540098,244320
17,4989874,1888298,1611099,277199
18,5158721,1971498,1684858,286640
19,5344586,1973266,1810785,162481
20,5507978,2060107,1899699,160408
21,5654181,2138434,1978247,160187
22,7302936,2954554,2073595,880959
23,8791876,3441684,2216899,1224785
24,8944101,3509267,2343239,1166028
25,9119376,3564357,2429579,1134778
26,9249125,3613394,2501205,1112189
27,9383086,3672601,2572278,1100323
28,10525091,4183208,2643423,1539785
29,10684602,4267738,2765437,1502301
30,10880602,4334881,2855339,1479542
31,11951277,4708534,2936294,1772240
32,12194008,4867678,3012122,1855556
33,12354690,4936477,3118120,1818357
34,12535656,4999888,3274419,1725469
35,12744167,5149612,3386699,1762913
36,13801486,5489846,3488998,2000848
37,14596566,5916501,3635366,2281135
38,15369184,6376334,3741077,2635257
39,16043949,6687311,3861457,2825854
40,16816658,6969152,3951845,3017307
41,17067367,7141180,4030653,3110527
42,17822583,7406238,4115343,3290895
43,18050616,7560805,4194647,3366158
44,18249816,7656518,4324950,3331568
45,18415720,7748494,4421468,3327026
46,18571686,7812184,4503284,3308900
47,18774216,7930479,4593099,3337380
48,18977778,8094399,4674799,3419600
49,19104366,8147623,4805379,3342244
50,21089033,9065108,4939959,4125149
51,21364468,9291323,5020424,4270899
52,21450951,9351469,5111256,4240213
53,21541914,9414014,5200279,4213735
54,21645160,9481569,5333922,4147647
55,21936129,9648360,5448382,4199978
56,22185960,9737489,5540758,4196731
57,22413406,9869624,5625819,4243805
58,22654135,10059392,5769019,4290373
59,24794276,11506534,5964859,5541675
60,25032569,11715429,6064735,5650694
61,25160170,11802021,6166367,5635654
62,25301959,11909171,6269396,5639775
63,25440946,12020550,6475512,5545038
64,26007487,12388137,6715686,5672451
65,26474517,12691579,6872944,5818635
66,26693975,12887394,6958104,5929290
67,26854433,12985803,7104771,5881032
68,27021078,13110697,7171931,5938766
69,27153432,13211962,7349931,5862031
70,27362122,13377917,7435931,5941986
71,27563568,13542692,7506159,6036533
72,27699554,13639723,7580834,6058889
73,27842161,13742576,7654247,6088329
74,28025450,13895527,7776068,6119459
75,28314795,14147933,7873362,6274571
76,28489086,14277029,7951538,6325491
77,28751696,14486015,8052629,6433386
78,30515184,14876043,8161237,6714806
79,31971568,15537372,8363478,7173894
80,32455767,15859569,8465027,7394542
81,32770658,16082400,8540751,7541649
82,33142182,16306117,8608275,7697842
83,33266439,16361481,8696133,7665348
84,33614232,16377273,8835056,7542217
85,34061749,16442037,8942129,7499908
86,34461899,16555669,9038044,7517625
87,34607495,16652629,9254102,7398527
88,34818980,16796668,9331598,7465070
89,35247131,16659264,9594166,7065098
90,35611396,16640746,9772809,6867937
